dataset,binvar,bin,model,model_auroc,comp_auroc,n,n_pos
ClinVar,abs_dGC,0,GPN-MSA,0.9526464395514573,0.7066991800313801,38377,7072
ClinVar,abs_dGC,0,Evo2-7B,0.9561444667901361,0.7066991800313801,38377,7072
ClinVar,abs_dGC,0,Evo2-40B,0.9567731154817769,0.7066991800313801,38377,7072
ClinVar,abs_dGC,0,CADD,0.9815119928190796,0.7066991800313801,38377,7072
ClinVar,abs_dGC,0,phyloP,0.8927184253483466,0.7066991800313801,38377,7072
ClinVar,abs_dGC,1,GPN-MSA,0.958848838366381,0.7253129545309212,38377,5717
ClinVar,abs_dGC,1,Evo2-7B,0.9598347036097942,0.7253129545309212,38377,5717
ClinVar,abs_dGC,1,Evo2-40B,0.9655846039510791,0.7253129545309212,38377,5717
ClinVar,abs_dGC,1,CADD,0.9880207075250111,0.7253129545309212,38377,5717
ClinVar,abs_dGC,1,phyloP,0.9140992167343653,0.7253129545309212,38377,5717
ClinVar,abs_dGC,2,GPN-MSA,0.9633304864276333,0.7256429615653608,38376,6262
ClinVar,abs_dGC,2,Evo2-7B,0.9636437058550607,0.7256429615653608,38376,6262
ClinVar,abs_dGC,2,Evo2-40B,0.9648521521149409,0.7256429615653608,38376,6262
ClinVar,abs_dGC,2,CADD,0.9870760690335811,0.7256429615653608,38376,6262
ClinVar,abs_dGC,2,phyloP,0.921431402960165,0.7256429615653608,38376,6262
ClinVar,abs_dGC,3,GPN-MSA,0.9610182466085504,0.7141592110817698,38377,6520
ClinVar,abs_dGC,3,Evo2-7B,0.9635702243917662,0.7141592110817698,38377,6520
ClinVar,abs_dGC,3,Evo2-40B,0.9684630700448261,0.7141592110817698,38377,6520
ClinVar,abs_dGC,3,CADD,0.9866918058713903,0.7141592110817698,38377,6520
ClinVar,abs_dGC,3,phyloP,0.9212015042559588,0.7141592110817698,38377,6520
ClinVar,mu_5mer,0,GPN-MSA,0.9490210116508533,0.7048277894415047,38377,7736
ClinVar,mu_5mer,0,Evo2-7B,0.9604177729697099,0.7048277894415047,38377,7736
ClinVar,mu_5mer,0,Evo2-40B,0.9624791300923439,0.7048277894415047,38377,7736
ClinVar,mu_5mer,0,CADD,0.9827493029717309,0.7048277894415047,38377,7736
ClinVar,mu_5mer,0,phyloP,0.8939969629268276,0.7048277894415047,38377,7736
ClinVar,mu_5mer,1,GPN-MSA,0.9609809631453836,0.7094234441303572,38377,7204
ClinVar,mu_5mer,1,Evo2-7B,0.9667687942842254,0.7094234441303572,38377,7204
ClinVar,mu_5mer,1,Evo2-40B,0.9723527328956852,0.7094234441303572,38377,7204
ClinVar,mu_5mer,1,CADD,0.9904682569484444,0.7094234441303572,38377,7204
ClinVar,mu_5mer,1,phyloP,0.9086396347445278,0.7094234441303572,38377,7204
ClinVar,mu_5mer,2,GPN-MSA,0.9672954149864597,0.7302244906512838,38377,5302
ClinVar,mu_5mer,2,Evo2-7B,0.9617774241078532,0.7302244906512838,38377,5302
ClinVar,mu_5mer,2,Evo2-40B,0.9681899036363543,0.7302244906512838,38377,5302
ClinVar,mu_5mer,2,CADD,0.9854624171513942,0.7302244906512838,38377,5302
ClinVar,mu_5mer,2,phyloP,0.9280286780673878,0.7302244906512838,38377,5302
ClinVar,mu_5mer,3,GPN-MSA,0.9675608430533541,0.7001982846121633,38377,5329
ClinVar,mu_5mer,3,Evo2-7B,0.9563994070007839,0.7001982846121633,38377,5329
ClinVar,mu_5mer,3,Evo2-40B,0.9596305700965242,0.7001982846121633,38377,5329
ClinVar,mu_5mer,3,CADD,0.9861728831699188,0.7001982846121633,38377,5329
ClinVar,mu_5mer,3,phyloP,0.9258735294307717,0.7001982846121633,38377,5329
TraitGym-mendelian,abs_dGC,0,GPN-MSA,0.906129969895152,0.5732767569812104,845,104
TraitGym-mendelian,abs_dGC,0,Evo2-7B,0.7170014533374857,0.5732767569812104,845,104
TraitGym-mendelian,abs_dGC,0,Evo2-40B,0.8693748053565867,0.5732767569812104,845,104
TraitGym-mendelian,abs_dGC,0,NT-2.5B,0.58427410983079,0.5732767569812104,845,104
TraitGym-mendelian,abs_dGC,0,Caduceus,0.5440413163085228,0.5732767569812104,845,104
TraitGym-mendelian,abs_dGC,0,CADD,0.8914019516246238,0.5732767569812104,845,104
TraitGym-mendelian,abs_dGC,0,phyloP,0.86353550295858,0.5732767569812104,845,104
TraitGym-mendelian,abs_dGC,1,GPN-MSA,0.9023106223947104,0.5760115710794883,845,72
TraitGym-mendelian,abs_dGC,1,Evo2-7B,0.6248472761247664,0.5760115710794883,845,72
TraitGym-mendelian,abs_dGC,1,Evo2-40B,0.8139284174213023,0.5760115710794883,845,72
TraitGym-mendelian,abs_dGC,1,NT-2.5B,0.5040965933592066,0.5760115710794883,845,72
TraitGym-mendelian,abs_dGC,1,Caduceus,0.5173656029897945,0.5760115710794883,845,72
TraitGym-mendelian,abs_dGC,1,CADD,0.8810191174356763,0.5760115710794883,845,72
TraitGym-mendelian,abs_dGC,1,phyloP,0.8163989506971395,0.5760115710794883,845,72
TraitGym-mendelian,abs_dGC,2,GPN-MSA,0.878381897846003,0.6134448631920826,845,86
TraitGym-mendelian,abs_dGC,2,Evo2-7B,0.754795171124797,0.6134448631920826,845,86
TraitGym-mendelian,abs_dGC,2,Evo2-40B,0.8277185403070135,0.6134448631920826,845,86
TraitGym-mendelian,abs_dGC,2,NT-2.5B,0.5462205472316696,0.6134448631920826,845,86
TraitGym-mendelian,abs_dGC,2,Caduceus,0.5064037748567576,0.6134448631920826,845,86
