dataset,model,confounder,n,rho_signedLLR,rho_absLLR,partial_rho_absLLR,matched
ClinVar,GPN-MSA,mu_5mer,153507,0.30298089037580916,-0.3326343615841542,-0.3326833005208233,False
ClinVar,GPN-MSA,cpg_ref,153507,0.2917117920954238,-0.30774707892779,-0.30795907921207455,False
ClinVar,GPN-MSA,dGC_w51,153507,0.1278613719433538,-0.13852155545002856,-0.1382974517417268,False
ClinVar,GPN-MSA,dkmer3_w51,153507,0.0035957413750822968,-0.0049551349928595705,-0.004772170147878186,False
ClinVar,GPN-MSA,flank_gc_w51,153507,0.06637101371813853,-0.1072977491336566,-0.11004237315492019,False
ClinVar,GPN-MSA(csv),mu_5mer,36811,0.24200647436303355,-0.2708095090176792,-0.2708914812797959,False
ClinVar,GPN-MSA(csv),cpg_ref,36811,0.21999397829150766,-0.23501754547966489,-0.23544358416545288,False
ClinVar,GPN-MSA(csv),dGC_w51,36811,0.11423507542584659,-0.12565861128036573,-0.12549047022814522,False
ClinVar,GPN-MSA(csv),dkmer3_w51,36811,-0.024481851503024867,0.021679158392609834,0.021733459911518673,False
ClinVar,GPN-MSA(csv),flank_gc_w51,36811,0.08246744023895955,-0.11574691495199876,-0.11875882986937694,False
ClinVar,Evo2-7B,mu_5mer,73408,-0.14772996232099672,-0.13024519407044546,-0.1301650713444264,False
ClinVar,Evo2-7B,cpg_ref,73408,-0.13624856065877886,-0.09065281774186433,-0.09068042078081587,False
ClinVar,Evo2-7B,dGC_w51,73407,-0.07092829207928368,-0.072219618253782,-0.0720607610192272,False
ClinVar,Evo2-7B,dkmer3_w51,73408,0.037126453669638494,0.046436482655541296,0.046527796749888065,False
ClinVar,Evo2-7B,flank_gc_w51,73408,-0.022011406356137322,-0.05715734753693196,-0.05840040682602993,False
ClinVar,Evo2-40B,mu_5mer,73408,-0.16986508993696894,-0.18322565781777353,-0.18314990530427916,False
ClinVar,Evo2-40B,cpg_ref,73408,-0.13867896079337574,-0.12263811057877427,-0.12267029131999216,False
ClinVar,Evo2-40B,dGC_w51,73407,-0.09755660659465551,-0.11089325138114407,-0.11073602560634371,False
ClinVar,Evo2-40B,dkmer3_w51,73408,0.030295697280169755,0.03484586177665697,0.034938967924593944,False
ClinVar,Evo2-40B,flank_gc_w51,73408,-0.02112762919344802,-0.03770963403899139,-0.03892990909999276,False
ClinVar,CADD,mu_5mer,73408,-0.09196496973733806,-0.05894379614568219,-0.058813527334163,False
ClinVar,CADD,cpg_ref,73408,-0.09142695438792582,-0.04189116095804706,-0.041928741209156975,False
ClinVar,CADD,dGC_w51,73407,-0.030527936062979377,-0.028441636843576024,-0.028191370592181214,False
ClinVar,CADD,dkmer3_w51,73408,0.033021511942801875,0.0456306075354711,0.045771293606522837,False
ClinVar,CADD,flank_gc_w51,73408,-0.05937822269607007,-0.042862716497132795,-0.04461269934852494,False
ClinVar,phyloP-100w,mu_5mer,73408,-0.14588602893237343,0.044314008283900176,0.04438140126952539,False
ClinVar,phyloP-100w,cpg_ref,73408,-0.2007630571513458,0.058900547876417624,0.05889058562684876,False
ClinVar,phyloP-100w,dGC_w51,73407,-0.032564044571176294,0.021026401056862033,0.021144066678475022,False
ClinVar,phyloP-100w,dkmer3_w51,73408,0.004087249025541747,0.04997613427196373,0.050037025192813334,False
ClinVar,phyloP-100w,flank_gc_w51,73408,-0.13004877203869392,0.0007073513077320267,-9.095510696061591e-06,False
ClinVar,phyloP-447w,mu_5mer,73408,-0.1985360495994151,0.1637309900283026,0.16374441365077957,False
ClinVar,phyloP-447w,cpg_ref,73408,-0.2570458761462978,0.19484006770056142,0.19483858910112517,False
ClinVar,phyloP-447w,dGC_w51,73407,-0.04999270939445105,0.05281813637036329,0.052838965256807646,False
ClinVar,phyloP-447w,dkmer3_w51,73408,-0.009264450742495363,0.07443237049407203,0.07444227962845858,False
ClinVar,phyloP-447w,flank_gc_w51,73408,-0.1133547223944147,0.05234210950697154,0.05239152877952351,False
ClinVar,SpliceAI,mu_5mer,72276,-0.03716927575124168,-0.03716927575124168,-0.03702217460100139,False
ClinVar,SpliceAI,cpg_ref,72276,-0.04933301493710199,-0.04933301493710199,-0.04934847883037706,False
ClinVar,SpliceAI,dGC_w51,72275,-0.016487075090882805,-0.016487075090882805,-0.01627365391641781,False
ClinVar,SpliceAI,dkmer3_w51,72276,0.0284813501825388,0.0284813501825388,0.028617293297101318,False
ClinVar,SpliceAI,flank_gc_w51,72276,-0.057608166545129846,-0.057608166545129846,-0.059264376992556045,False
TraitGym-mendelian,GPN-MSA,mu_5mer,3380,0.06842299244094302,-0.15887172932911606,-0.15746975732428453,True
TraitGym-mendelian,GPN-MSA,cpg_ref,3380,0.12622825359407872,-0.09004164633261613,-0.09234540934711519,True
TraitGym-mendelian,GPN-MSA,dGC_w51,3380,0.09261816560563739,-0.09863813619822571,-0.0983633061905683,True
TraitGym-mendelian,GPN-MSA,dkmer3_w51,3380,0.014909281835652356,-0.0037292413406188212,-0.003273333761782387,True
TraitGym-mendelian,GPN-MSA,flank_gc_w51,3380,-0.022171697748347142,0.051295858219938505,0.04058295895910329,True
TraitGym-mendelian,Evo2-7B,mu_5mer,3380,0.06394335767679686,-0.03574707018112537,-0.03397798141557605,True
TraitGym-mendelian,Evo2-7B,cpg_ref,3380,0.14047730227309901,0.01354912165272573,0.011359243399905208,True
TraitGym-mendelian,Evo2-7B,dGC_w51,3380,0.03924135414021393,-0.014807672744515478,-0.014362588247307139,True
TraitGym-mendelian,Evo2-7B,dkmer3_w51,3380,-0.010098764824075082,0.058438020064433105,0.0590440709593061,True
TraitGym-mendelian,Evo2-7B,flank_gc_w51,3380,-0.0630579957944642,0.08017506061909078,0.06936953575303334,True
TraitGym-mendelian,Evo2-40B,mu_5mer,3380,0.0571180641241486,-0.11430304929864522,-0.11137942972685874,True
TraitGym-mendelian,Evo2-40B,cpg_ref,3380,0.0760227918759296,0.008146623589927439,0.0034325109995903937,True
TraitGym-mendelian,Evo2-40B,dGC_w51,3380,0.0792667585814682,-0.06733366225500488,-0.06691443060215946,True
TraitGym-mendelian,Evo2-40B,dkmer3_w51,3380,-0.005169147710126105,0.012703019377806461,0.013875520644364961,True
TraitGym-mendelian,Evo2-40B,flank_gc_w51,3380,-0.11726652770623,0.2175390409113276,0.19681481487394376,True
TraitGym-mendelian,NT-2.5B,mu_5mer,3380,0.07674431954741055,0.11028990064259035,0.10867815143356882,True
TraitGym-mendelian,NT-2.5B,cpg_ref,3380,0.22334224982279047,0.11870777587595376,0.12127431370383945,True
TraitGym-mendelian,NT-2.5B,dGC_w51,3380,0.032221614649039,0.09844241567004978,0.09815966112766969,True
TraitGym-mendelian,NT-2.5B,dkmer3_w51,3380,-0.006885555510942391,0.13350732690287037,0.13327751866721313,True
TraitGym-mendelian,NT-2.5B,flank_gc_w51,3380,-0.05877882086748092,0.029758216136436654,0.04319192458680741,True
TraitGym-mendelian,Caduceus,mu_5mer,3380,0.054390543651339725,0.06689962595859808,0.06595640883502608,True
TraitGym-mendelian,Caduceus,cpg_ref,3380,0.22415754251574815,0.07513498213124752,0.07644001591988239,True
TraitGym-mendelian,Caduceus,dGC_w51,3380,0.014681255169856836,0.10340493348949638,0.10320866946314103,True
TraitGym-mendelian,Caduceus,dkmer3_w51,3380,0.001003076854073241,0.10771392714574254,0.10751091752333239,True
TraitGym-mendelian,Caduceus,flank_gc_w51,3380,-0.052708607201042326,0.048675282731785556,0.05656593251172232,True
TraitGym-mendelian,HyenaDNA,mu_5mer,3380,0.04970220008913701,-0.013860658703328338,-0.014586447157656064,True
TraitGym-mendelian,HyenaDNA,cpg_ref,3380,0.05861940354704101,-0.03249266811583215,-0.031664097806963436,True
TraitGym-mendelian,HyenaDNA,dGC_w51,3380,0.038668875057475925,0.038282096268605306,0.03811122468956259,True
TraitGym-mendelian,HyenaDNA,dkmer3_w51,3380,0.03266765984447468,0.011579717282452063,0.011393641186880773,True
TraitGym-mendelian,HyenaDNA,flank_gc_w51,3380,-0.005778293744457109,-0.011025497204949976,-0.006391332259158752,True
TraitGym-mendelian,SpeciesLM,mu_5mer,3380,0.0728415248225271,0.03341446789698178,0.03318353926003012,True
TraitGym-mendelian,SpeciesLM,cpg_ref,3380,0.20479661058129778,0.0817795573233742,0.08213114736609241,True
TraitGym-mendelian,SpeciesLM,dGC_w51,3380,0.03122201165388549,0.058022988601459116,0.05796351775669388,True
TraitGym-mendelian,SpeciesLM,dkmer3_w51,3380,-0.000981103696927045,0.10236988311795868,0.10231110740330557,True
TraitGym-mendelian,SpeciesLM,flank_gc_w51,3380,-0.06895677453002877,0.09261650936234056,0.096182678745506,True
TraitGym-mendelian,GPN,mu_5mer,3380,0.08875172917752842,0.06150269715014871,0.0629990702836653,True
TraitGym-mendelian,GPN,cpg_ref,3380,0.20911135789081323,0.12782281688620503,0.1263641850232792,True
TraitGym-mendelian,GPN,dGC_w51,3380,0.05978357484515681,0.04395734822671219,0.044365330398189615,True
TraitGym-mendelian,GPN,dkmer3_w51,3380,-0.0014133058311687472,0.11759516606331905,0.11809991892257082,True
TraitGym-mendelian,GPN,flank_gc_w51,3380,-0.08127887593529178,0.18070975398299777,0.17507153446144333,True
TraitGym-mendelian,CADD,mu_5mer,3380,-0.07275418253512675,-0.025627309545058315,-0.022607789813854043,True
TraitGym-mendelian,CADD,cpg_ref,3380,-0.027137642530570178,-0.0005033214938021251,-0.004317205069138498,True
TraitGym-mendelian,CADD,dGC_w51,3380,-0.017507411084423042,-0.013773676207079004,-0.013039799155353308,True
TraitGym-mendelian,CADD,dkmer3_w51,3380,-0.01316657365914561,-0.00994949098955321,-0.009163860951558089,True
TraitGym-mendelian,CADD,flank_gc_w51,3380,0.2703172449051336,0.24143843421688418,0.22616868468798154,True
TraitGym-mendelian,phyloP-100v,mu_5mer,3380,-0.048663795267458426,0.008238050708695772,0.007746156548559475,True
TraitGym-mendelian,phyloP-100v,cpg_ref,3380,-0.09977665043056012,0.04371598384166409,0.04434611590318581,True
TraitGym-mendelian,phyloP-100v,dGC_w51,3380,-0.032933484632837295,-0.04296634577085358,-0.04310055349903753,True
TraitGym-mendelian,phyloP-100v,dkmer3_w51,3380,-0.007202189280077077,0.014569879298079713,0.014440639877265763,True
TraitGym-mendelian,phyloP-100v,flank_gc_w51,3380,-0.04840167985830084,0.04193824794572096,0.04617230056753783,True
TraitGym-mendelian,phastCons,mu_5mer,3380,-0.07303297411234655,-0.07303297411234655,-0.07111943324220207,True
TraitGym-mendelian,phastCons,cpg_ref,3380,-0.0791625348220353,-0.0791625348220353,-0.08197382903039854,True
TraitGym-mendelian,phastCons,dGC_w51,3380,-0.03269186968031221,-0.03269186968031221,-0.03223090910426946,True
TraitGym-mendelian,phastCons,dkmer3_w51,3380,-0.016776686407877522,-0.016776686407877522,-0.016254545783063762,True
