dataset,model,matched,corr_mu_raw,corr_mu_cal,auroc_raw,auroc_cal,auroc_delta,comp_auroc,recovery_raw,recovery_cal
ClinVar,GPN-MSA,False,-0.3326343615841542,-0.17329902857719925,0.9583176498189174,0.9554187605521418,-0.002898889266775617,0.7199752664996123,0.4799624596314917,0.4830175775651361
ClinVar,Evo2-7B,False,-0.13024519407044546,-0.13726125233646588,0.9604365963082553,0.9547661490687178,-0.005670447239537468,0.7199752664996123,0.477753654386634,0.483710731218855
ClinVar,Evo2-40B,False,-0.18322565781777353,-0.1739233271523273,0.9631479654935846,0.9578418647405255,-0.005306100753059151,0.7199752664996123,0.4749567803135677,0.4804612322297782
ClinVar,CADD,False,-0.05894379614568219,-0.020595871986829207,0.9859417459650175,0.984260881581553,-0.0016808643834644865,0.7199752664996123,0.4526782650928042,0.45424950654942975
ClinVar,phyloP,False,0.044314008283900176,0.01745473792048195,0.9116429138000006,0.9083057092362848,-0.0033372045637157788,0.7199752664996123,0.5343837076386275,0.5387513853555095
TraitGym-mendelian,GPN-MSA,True,-0.15887172932911606,-0.14992164444778994,0.9044146518085646,0.8824412068301718,-0.02197344497839282,0.5862780726956908,0.2133406203505498,0.2255982649223354
TraitGym-mendelian,Evo2-7B,True,-0.03574707018112537,-0.07068015735657633,0.7103409502359099,0.6835928710226454,-0.026748079213264497,0.5862780726956908,0.4101820049729963,0.46994239054657366
TraitGym-mendelian,Evo2-40B,True,-0.11430304929864522,-0.178062610072987,0.8508320392276995,0.8239051682956309,-0.02692687093206858,0.5862780726956908,0.24592415471978593,0.26636831128592575
TraitGym-mendelian,NT-2.5B,True,0.11028990064259035,0.020079146274042014,0.5344484579348032,0.5219633928710236,-0.012485065063779666,0.5862780726956908,2.504555439287869,3.928267057933384
TraitGym-mendelian,Caduceus,True,0.06689962595859808,-0.01826499551488477,0.5092203388284802,0.5042612694710058,-0.004959069357474366,0.5862780726956908,9.357364658790136,20.247035134186493
TraitGym-mendelian,CADD,True,-0.025627309545058315,0.01602715697628536,0.8925850098264585,0.8847352388959457,-0.007849770930512756,0.5862780726956908,0.21976914690102364,0.22425310700230727
TraitGym-mendelian,phyloP,True,0.008238050708695772,-0.00896598146992606,0.8572282368910312,0.8334341341532189,-0.02379410273781235,0.5862780726956908,0.24152086477421716,0.2587559696454007
TraitGym-complex,GPN-MSA,True,-0.19615652510415174,-0.1971567789523788,0.5803355323336867,0.5753483107526276,-0.004987221581059131,0.520384940742874,0.2537475031372398,0.27054277049154846
TraitGym-complex,Evo2-7B,True,-0.048465789657729574,-0.21030332881223857,0.5054320071192159,0.5020617716455301,-0.0033702354736857565,0.520384940742874,3.752745586573646,9.887099178547807
TraitGym-complex,Evo2-40B,True,-0.08301725153718188,-0.22892987053120495,0.5161817434967709,0.5087612472806458,-0.007420496216125172,0.520384940742874,1.2597493432609301,2.3267167436200373
TraitGym-complex,NT-2.5B,True,0.03486291293977838,-0.14939892101529734,0.516083628535806,0.5230055887924139,0.006921960256607851,0.520384940742874,1.2674341923212302,0.886086460416782
TraitGym-complex,Caduceus,True,0.011275903130154022,-0.18627409057803745,0.5180477580114629,0.52519036958375,0.0071426115722871275,0.520384940742874,1.12949989300204,0.8092354768793901
TraitGym-complex,CADD,True,-0.017192250576279326,-0.05310321130065651,0.6155839016156138,0.610496762531097,-0.005087139084516856,0.520384940742874,0.1763648783086266,0.18448450683916728
TraitGym-complex,phyloP,True,0.06184097847522006,-0.014691591802417069,0.5832523210153918,0.5770872913900879,-0.006165029625303964,0.520384940742874,0.24485732642943617,0.2644397069254812
